<IANSI>,<FPEEL>,<EPSCU2>,<IOXIDHT>,<FAOX>,<FFRICR>,<FFRICX>,<FWHL>,<FAOUT>,<TCLMAX>,<FZORUP>,<LMCOL0>,<FCRDR>,<FGPOOL>,<FMOVE>,<VFCRCO>,<FACT>,<FGBYPA>,<XLFALS>,<FZGAPTOPLH>,<HTFB>,<ECM>,<IKCMOXIDE>,<HTSTAG>,<SCALH>,<TJBRN>,<TAUTO>,<FPRAT>,<FVPREV>,<FCSIVP>,<FCSHVP>,<FCS2MOO4>,<XGAPLH>,<FQUEN>,<EDG_OPERATE>,<EDG_FAIL>,<POWER_RECOV>,<AFW_RATE>,<WVSP>,<ECREPP>,<FHTPB>,<WWTDFW>,<IVI_FP_VOLRATE>,<DPRESS_DELAY>,<WPORV0>,<IVI_DELAY>,<ABBN>,<SPRAY_RATE>,<IVI_RATE>
1,1.0,0.1596651,0,1.212712,0.45545280000000005,0.2671111,0.1304226,0.23027960000000003,2445.49,0.5637698,49,0.1500466,0.7272521,2.690157,0.19412939999999998,0.6539491,1,0.04507834,0.4333009,308.5954,0.7561802,0,1268.8210000000001,0.981424,1400.285,912.7789,-4,1.315142,2.197589,0.01,0.7136566,0.000173739,0.45427920000000005,73.50941999999999,8.207152,54.48667,41.38588,0.1766605,0.646412,0.3058482,28.52535,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
3,0.1,0.2067124,0,1.810073,0.389461,0.34146329999999997,0.1483365,0.48757040000000007,2435.5860000000002,0.30756849999999997,50,0.1073298,0.6271331,3.584507,0.3861127,0.20552800000000002,1,0.02024017,0.410691,206.5059,0.8073180999999999,1,1051.9669999999999,1.0211780000000001,1345.626,962.9249,-5,0.9618179,3.0171200000000002,1.0,0.6956968000000001,0.000126321,0.6690257,54.53754,4.543996,36.48805,41.23341,0.1873415,0.6088814,0.2514349,37.96526,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
3,1.0,0.2195209,1,1.5711469999999998,0.6325518,0.2613389,0.1512815,0.3752739,2525.294,0.6598702,53,0.14966849999999998,0.7172182,2.597625,0.3252093,0.6988523,1,0.06001655,0.42095540000000004,259.7268,0.9574502,0,1272.876,0.9488468000000001,1629.277,1085.8139999999999,-5,0.9039813,2.4922619999999998,1.0,0.7037898,0.000150859,0.1943034,46.53825,5.538166,46.22034,32.97952,0.2495489,0.43192520000000006,0.5049047000000001,32.550290000000004,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
6,0.1,0.234118,0,1.0306680000000001,0.3810083,0.3808506,0.0830816,0.39206640000000004,2395.949,0.5605121999999999,48,0.16543360000000001,0.8911629000000001,2.419486,0.09830976,0.2845873,1,0.07352167,0.5891968000000001,166.3091,0.7827791999999999,1,1455.835,0.9727117000000001,1361.263,840.2172,-5,0.5892698000000001,0.465447,1.0,0.7368323,7.62e-05,0.3372185,75.60288,7.992147,65.98054,36.95579,0.2193952,0.9999276,0.9014668,44.07713,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
3,0.01,0.0868839,1,1.059672,0.5529416,0.3177902,0.08889449,0.383905,2566.342,0.6762779999999999,48,0.01091194,0.6790298,3.062627,0.2889969,0.3374522,1,0.05472127,0.4041401,237.4615,0.7627901,0,777.8112,0.9246573,1292.607,1107.8139999999999,-5,1.545283,1.367176,0.01,0.6854680000000001,0.00010421100000000001,0.2951103,61.61071999999999,5.844307,64.14124,38.20863,0.2396169,0.3905117,0.30386740000000007,32.609629999999996,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
1,0.01,0.1953556,0,1.589581,0.2655715,0.2935177,0.09164215,0.2003808,2332.4120000000003,0.5389517,49,0.172236,0.9120121999999999,1.531326,0.2737593,0.720916,1,0.03756411,0.49884750000000005,277.8408,0.8729800999999999,1,1388.017,1.047022,1298.759,860.8395,-4,0.9012023000000001,1.639675,1.0,0.7172964,0.000107581,0.1834348,72.64283,9.27081,34.12851,44.43858,0.21896350000000003,0.8127083,0.458376,40.53349,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
1,1.0,0.2813115,1,1.451965,0.2858757,0.3208641,0.1574885,0.4047751,2458.617,0.5670966,49,0.06933828,0.7567764,3.513776,0.31241979999999997,0.8468245999999999,1,0.05521487,0.5541401,218.3939,0.8374298000000001,1,1704.6129999999998,1.07318,1138.737,949.8107,-4,1.419374,3.2912529999999998,0.1,0.7146194,7.03e-05,0.3821609,67.40065,7.747739999999999,30.743009999999998,43.92502,0.2217123,0.1184087,0.49857290000000004,27.923090000000002,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
4,0.1,0.24522339999999998,1,1.504083,0.6208554000000001,0.3254484,0.12814160000000002,0.3624065,2307.257,0.7770968,52,0.19503299999999998,0.7054842,2.879407,0.32584120000000005,0.5793865,1,0.02451827,0.5454091,202.3389,0.7376096999999999,0,1743.092,0.9010649,1277.312,985.2313,-6,1.200756,3.620378,0.1,0.6987791,0.000149276,0.3835808,50.40486,8.438134,45.8477,23.039089999999998,0.20202820000000002,0.9732261999999999,0.6639991,38.63495,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
4,0.1,0.33837659999999997,2,1.121381,0.458163,0.2906238,0.1671816,0.3779732,2354.573,0.531267,51,0.01835396,0.6164681,2.61611,0.2728691,0.4219946,1,0.05752621,0.5713147,304.9387,0.8377554,1,1503.266,0.8598553,1464.846,1048.639,-6,0.8359572000000001,2.332294,1.0,0.7202571999999999,0.000112154,0.6287096,67.34863,5.098807,57.554990000000004,35.72385,0.24467339999999999,0.7040876,0.8125989,41.39687,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
1,0.01,0.1747122,0,1.3020450000000001,0.35891890000000004,0.2940522,0.09384382,0.3112473,2525.884,0.6657588000000001,50,0.1785361,0.6530511,2.966765,0.315618,0.6796270000000001,1,0.04236122,0.6274868,279.2976,0.8368873,1,1209.144,1.1015709999999999,1143.361,982.7759,-6,1.423459,0.9606606,0.01,0.7180203000000001,9.23e-05,0.18881520000000002,47.648759999999996,8.222897,53.51684,30.53286,0.2977499,0.4857972,0.5540221,34.59424,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
1,0.01,0.12594560000000002,1,1.18366,0.1602685,0.30366479999999996,0.11991760000000001,0.4367864000000001,2582.861,0.9163869,51,0.2688438,0.7990575,1.534885,0.3335012,0.5497738,1,0.06355522,0.5576694999999999,326.0264,0.8405883,0,1817.105,1.008888,1222.49,1023.3439999999999,-6,1.328338,1.4910379999999999,1.0,0.6946861999999999,0.000112696,0.23036170000000003,66.5403,7.639963000000001,60.96059,27.53459,0.34608779999999995,0.6113939,0.681121,22.92393,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
5,0.1,0.13577360000000002,1,1.443096,0.5192243,0.28657209999999994,0.1505157,0.2820413,2638.822,0.7476146,50,0.1153431,0.7244311999999999,1.495609,0.2194861,0.3593605,0,0.02295769,0.41102079999999996,322.9156,0.8974555000000001,1,997.3854,0.8748968,1455.9189999999999,834.7111,-5,1.7677900000000002,3.4484769999999996,0.01,0.6799144,0.000121518,0.2487116,67.47083,8.789318,62.71309,38.35849,0.1280419,0.5101382999999999,0.7854363,31.003909999999998,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
2,1.0,0.1846309,2,1.8611950000000002,0.532628,0.2502012,0.13993540000000002,0.422887,2342.695,0.6102289000000001,48,0.16068329999999997,0.5941694000000001,1.856773,0.1988701,0.5255328,1,0.09859879,0.5458609000000001,289.4924,0.8816957000000001,1,1775.2520000000002,1.0604959999999999,1260.683,1030.964,-5,1.803388,2.6457599999999997,1.0,0.7337151,7.329999999999999e-05,0.45008980000000004,70.58076,9.751581,55.90855,22.15875,0.3402368,0.330331,0.3278144,20.3262,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
6,0.01,0.3170699,2,1.335651,0.3571783,0.3348446,0.11278730000000001,0.4121089,2601.256,0.187004,49,0.1773527,0.7868229999999999,1.626089,0.2734749,0.4734291,1,0.01690828,0.5570984999999999,395.8582,0.9223923,1,1128.749,0.9378924999999999,1238.463,1173.328,-6,0.7051649,0.8340261,0.01,0.6979318,0.00019543900000000002,0.10417080000000001,75.62904,8.423747,45.77377,29.88046,0.2201712,0.1669701,0.6661999,38.69712,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
5,1.0,0.2580409,0,1.609086,0.5315689,0.25809210000000005,0.09689527,0.3835545,2517.587,0.7756845,51,0.01211126,0.8330103999999999,2.050402,0.43343919999999997,0.18266860000000001,0,0.04412422,0.5038759,302.7257,0.845584,0,971.2028,0.8736777,973.1422,992.6498,-6,0.3676312,2.720757,0.1,0.6885064999999999,0.00013500399999999998,0.4465438,54.749680000000005,7.120316000000001,68.69384000000001,35.51502,0.2516491,0.5733457,0.8195212,39.387679999999996,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
6,0.01,0.1792552,0,1.203678,0.1844208,0.31592209999999993,0.05760563,0.333895,2401.1710000000003,0.4183704000000001,48,0.1036846,0.7926021,3.3177019999999997,0.27926809999999996,0.2112444,0,0.03405261,0.380349,283.538,0.8483917999999999,0,542.4982,1.130248,1539.484,954.5626,-6,0.5522712,2.1440080000000004,0.01,0.7231801999999999,1.82e-05,0.3934559,70.65479,8.751797999999999,61.2918,38.70925,0.17014520000000002,0.8328421,0.5494416,28.18165,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
3,0.1,0.2530986,2,1.029388,0.4381397,0.29470690000000005,0.07305684,0.42896540000000005,2459.178,0.8149976999999999,48,0.1853434,0.5897526999999999,2.980546,0.3593018,0.8894264999999999,0,0.06214629,0.417549,252.0234,0.8299062,0,1008.7239999999999,1.183451,1047.362,972.3105,-6,1.372466,2.168491,0.01,0.7121350000000001,0.000176513,0.5022402,40.39465,9.870510000000001,31.18716,34.429320000000004,0.1487507,0.8000651,0.6459248000000001,20.07002,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
4,1.0,0.1470719,1,1.247136,0.1359797,0.3538775,0.1386766,0.4826858,2521.271,0.313442,50,0.13082370000000001,0.8157082,2.025923,0.25010820000000006,0.6825585999999999,0,0.04177348,0.5298856,193.3711,0.9379371,0,1091.0919999999999,0.9345344000000001,1030.718,858.3409,-5,0.6954395999999999,2.303219,1.0,0.7236975,1.28e-05,0.3729597,52.562,8.51148,58.640769999999996,37.412690000000005,0.24878670000000003,0.7762462,0.5219473,27.268440000000002,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
2,0.01,0.11092880000000001,2,1.086109,0.5711588000000001,0.28460799999999997,0.13888670000000003,0.41262079999999995,2517.258,0.9511519,48,0.07647561,0.8566304,2.536541,0.3166864,0.4080413,0,0.06985018,0.4850465,247.5317,0.7583854999999999,1,1339.71,0.8880035,1011.688,1071.243,-4,1.149821,1.653288,0.1,0.7088937,0.000188868,0.6362125,77.4521,7.845735,69.7519,37.32533,0.1428546,0.6401293,0.7791708,41.010979999999996,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
5,0.01,0.18405429999999998,2,1.473498,0.5477276,0.3348957,0.06250486,0.36895029999999995,2593.847,0.6691438,52,0.1051512,0.7371079,2.841695,0.3369284,0.1668832,0,0.05224423,0.4034775,290.8729,0.9163764999999999,0,474.8611,0.934132,1429.602,904.2772,-6,1.250685,0.1946865,1.0,0.6809141,3.929999999999999e-05,0.5283996999999999,60.959559999999996,6.716032000000001,48.93618,40.96495,0.1265811,0.788035,0.7499599,30.8282,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
